country,tax_rate,unempl_rate,edu_index,health_index,corruption_rank,democracy_index,personal_freedom,economic_freedom,human_freedom,inflation,median_age,life_expectancy,social_mobility,press_score,gdp_per_capita,literacy_rate,infant_mortality,political_rights,civil_liberties,hdi,crime_index,safety_index,epi,pollution,safety,law_index,happiness,gini,gdp_growth,voting_age,reg_voters,opportunity,share_agriculture,avg_temperature,suicide_total,suicide_male,suicide_female,perc_urban_pop,urban_rate
Pakistani Kashmir,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Palau,N/A,N/A,0.844,N/A,N/A,N/A,N/A,N/A,N/A,0.9,N/A,N/A,N/A,N/A,14854,96.6,13.1,37,55,0.826,N/A,N/A,N/A,N/A,N/A,0.31,N/A,N/A,-10.28,N/A,N/A,N/A,N/A,27.6,N/A,N/A,N/A,81,1.77
Palestine,N/A,26.4,0.66,N/A,N/A,3.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.18,4896,97.2,N/A,N/A,N/A,0.708,43.74,56.26,N/A,N/A,56.41,-0.49,4.553,N/A,N/A,N/A,N/A,N/A,7.05,N/A,N/A,N/A,N/A,N/A,N/A
Panama,25,18.5,0.692,60.74,111,7.18,7.72,7.66,7.69,0.9,N/A,N/A,51.4,29.94,24521,95.4,12.6,35,48,0.815,45.15,54.85,47.3,59.36,52.81,-0.12,6.305,49.9,-17.94,N/A,N/A,65,2.17,25.4,2.9,4.7,1,68,2.06
Papua New Guinea,42,2.7,0.43,N/A,142,6.1,6.84,6.36,6.6,5.4,N/A,N/A,N/A,24.88,4208,64.2,45.2,23,39,0.555,80.79,19.21,32.4,N/A,18.07,-0.8,N/A,41.9,-3.87,N/A,N/A,N/A,N/A,25.25,3,4.3,1.6,13,2.51
Paraguay,N/A,8.1,0.631,N/A,137,6.18,6.78,7.03,6.9,3.6,N/A,N/A,46.8,33.52,13109,94,24.6,28,37,0.728,49.37,50.63,46.4,N/A,50.4,-0.56,5.692,48.8,-0.9,N/A,N/A,93,10,23.55,6,8.7,3.2,62,1.71
Peru,30,9.5,0.689,57.84,94,6.53,7.61,7.49,7.55,2.8,N/A,N/A,49.9,31.71,13463,94.4,28.6,29,42,0.777,66.72,33.28,44,82.31,31.85,-0.49,5.797,43.3,-11.11,N/A,N/A,66,6.75,19.6,2.8,4.2,1.4,78,1.44
Philippines,35,6.9,0.661,67.19,115,6.56,6.44,7.32,6.88,2.9,N/A,N/A,51.7,45.64,8361,98.2,20.5,25,31,0.718,42.46,57.54,38.4,73.69,57.84,-0.48,6.006,44.4,-9.51,N/A,N/A,82,8.82,25.85,2.2,3.1,1.2,47,1.99
Poland,32,5.8,0.866,56.15,45,6.85,8.32,7.24,7.78,2,38.8,78.1,69.1,28.84,29924,99.8,6.8,34,48,0.88,30.5,69.5,60.9,57.34,71.5,0.45,6.186,31.8,-2.72,53.83,55.34,46,2.35,7.85,11.3,20.1,3.1,60,-0.25
Portugal,48,6.7,0.759,71.85,33,7.9,9.02,7.52,8.27,1.6,42.2,80.9,72,10.11,32554,N/A,4.7,39,57,0.864,29.91,70.09,67,30.19,70.37,1.14,5.911,35.5,-7.58,61.75,55.84,29,2.05,15.15,11.5,17.9,5.7,66,0.47
Puerto Rico,33,9.2,N/A,57.32,N/A,N/A,N/A,N/A,N/A,1.8,N/A,N/A,N/A,N/A,N/A,92.4,8.4,N/A,N/A,N/A,62.84,37.16,N/A,50.24,34.37,0.59,N/A,N/A,-7.5,N/A,N/A,N/A,0.69,N/A,N/A,N/A,N/A,93,-0.14
Qatar,0,0.1,0.698,73.19,30,3.24,5.24,7.07,6.15,0.4,N/A,N/A,N/A,42.6,128647,93.5,12.6,7,18,0.848,12.13,87.87,37.1,60.19,88.14,0.73,N/A,N/A,-2.61,N/A,N/A,42,0.23,27.15,5.8,7.2,1.7,99,2.41
Republic of the Congo,N/A,10.3,0.526,N/A,N/A,3.11,6.52,5.08,5.8,0.5,N/A,N/A,N/A,38.83,N/A,N/A,79.7,2,18,0.574,N/A,N/A,30.8,N/A,N/A,-1.15,5.194,N/A,-7.81,N/A,N/A,N/A,N/A,24.55,6.5,9.5,3.5,67,3.28
Romania,10,5.1,0.762,55.98,69,6.4,8.54,7.68,8.11,1.3,N/A,N/A,63.1,24.91,26660,98.8,22.9,35,48,0.828,28.3,71.7,64.7,58.65,72.36,0.36,6.124,35.9,-3.9,N/A,N/A,60,4.13,8.8,9.7,16.5,3.3,54,-0.38
Russia,13,4.5,0.832,58.53,129,3.31,5.9,6.86,6.38,3.7,38.3,73.6,64.7,48.71,25763,99.7,10.5,5,15,0.824,39.99,60.01,50.5,62.63,58.88,-0.72,5.546,37.7,-3.05,N/A,N/A,47,3.5,-5.1,25.1,43.6,9.1,74,0.18
